Inhalt,Beispieldaten,Hinweise,Datenfeld in Schüler Online,Xschule / Xbildung,SVWS-Datenfeld (Schild-3.0),Schild2.0-Datei,Schild2.0-Spalte,Schild2.0-Feldname,,
Klasse,10V1,,aufnehmendeSchule_Klasse,Schueler.AufnehmendeSchule… ???,,SchuelerBasisdaten.dat,22,Klasse,,
Jahrgang,1,,KlasseJahrgang,Schueler.AufnehmendeSchule.Schuljahrgang ???,,SchuelerBasisdaten.dat,21,Jahrgang,,
Organisationsform der Klasse,V,"Evtl. gar nicht erforderlich in Schüler Online

Zeitform der Klasse

Nordrhein-Westfalen
T = Teilzeit
V = Vollzeit

NRW - nur für Schulgliederungen A01-A04 und A13
A = Teilzeitunterricht ohne Blockunterricht (Klasse)
C = Teilzeitunterricht ohne Blockunterricht (Bezirksfachklasse)
I = Teilzeitunterricht ohne Blockunterricht (Landesfachklasse)
B = Blockunterricht - z.Zt. im Unterricht (Klasse)
D = Blockunterricht - z.Zt. im Unterricht (Bezirksfachklasse)
O = Blockunterricht - z.Zt. im Unterricht (Landesfachklasse)
E = Blockunterricht - z.Zt. nicht im Unterricht (Klasse)
F = Blockunterricht - z.Zt. nicht im Unterricht (Bezirksfachklasse)
P = Blockunterricht - z.Zt. nicht im Unterricht (Landesfachklasse)
K = Ganztagsunterricht (Klasse)
L = Ganztagsunterricht (Bezirksfachklasse)
M = Ganztagsunterricht (Landesfachklasse)

Niedersachsen
T = Teilzeit
V = Vollzeit",Zeitform,Schueler.AufnehmendeSchule… ???,,SchuelerBasisdaten.dat,24,Klassen-Organisationsform,,
Datum der Anmeldung,13.02.2022,"Die Ausgabe von Datumswerten erfolgt im Format ""TT.MM.JJJJ"", kann bei Bedarf aber auch auf das Format ""JJJJMMTT"" oder ""TT.MM.JJ"" umgestellt werden.",Anmeldedatum,,,SchuelerZusatzdaten.dat,22,Datum der Anmeldung,,
"Datum der Aufnahme (=Status ""aufgenommen"" gesetzt)",05.03.2022,"Die Ausgabe von Datumswerten erfolgt im Format ""TT.MM.JJJJ"", kann bei Bedarf aber auch auf das Format ""JJJJMMTT"" oder ""TT.MM.JJ"" umgestellt werden.",Aufnahmedatum,,,SchuelerBasisdaten.dat,13,Aufnahmedatum,,
Aufnahmestatus,1,"Aufnahmestatus der Anmeldung an der Schule

0 = angemeldet
1 = aufgenommen
2 = Warteliste
3 = abgelehnt
4 = nicht erschienen
5 = abgemeldet durch Schüler*in / Betrieb
6 = Rückmeldung / Schülerzusage

Die Ausgabe der Werte kann über den Button ""Zuordnung spezieller Feldinhalte"" (Symbol in der Spalte ganz rechts) auf der Seite ""Datenexport"" -> ""Export Schema Anmeldungen"" individuell eingestellt werden.",Aufnahmestatus,,,,,,,
Unterlagen vollständig?,1,"0 = nein, 1 = ja

Die Ausgabe der Werte kann über den Button ""Zuordnung spezieller Feldinhalte"" (Symbol in der Spalte ganz rechts) auf der Seite ""Datenexport"" -> ""Export Schema Anmeldungen"" individuell eingestellt werden.",Unterlagen,,,,,,,
Beratung erfolgt?,1,"0 = nein, 1 = ja

Die Ausgabe der Werte kann über den Button ""Zuordnung spezieller Feldinhalte"" (Symbol in der Spalte ganz rechts) auf der Seite ""Datenexport"" -> ""Export Schema Anmeldungen"" individuell eingestellt werden.",Beratung,,,,,,,
Inhalt des internen Notizfelds zur Anmeldung,18.05.2022 Zeugniskopie angefordert,,Notiz,,,,,,,
Beginn des Beschulungszeitraums,01.08.2022,"Die Ausgabe von Datumswerten erfolgt im Format ""TT.MM.JJJJ"", kann bei Bedarf aber auch auf das Format ""JJJJMMTT"" oder ""TT.MM.JJ"" umgestellt werden.

ACHTUNG: Gesondert erfasst wird zusätzlich noch der Zeitraum des Ausbildungsvertrags bei Dualer Ausbildung - siehe Abschnitt Ausbildungsbetrieb",Ausbildungsbeginn,,,,,,,
Ende des Beschulungszeitraums,31.07.2025,"Die Ausgabe von Datumswerten erfolgt im Format ""TT.MM.JJJJ"", kann bei Bedarf aber auch auf das Format ""JJJJMMTT"" oder ""TT.MM.JJ"" umgestellt werden.

ACHTUNG: Gesondert erfasst wird zusätzlich noch der Zeitraum des Ausbildungsvertrags bei Dualer Ausbildung - siehe Abschnitt Ausbildungsbetrieb",Ausbildungsende,,,,,,,
1. Schultag im Beschulungszeitraum,13.09.2022,"Die Ausgabe von Datumswerten erfolgt im Format ""TT.MM.JJJJ"", kann bei Bedarf aber auch auf das Format ""JJJJMMTT"" oder ""TT.MM.JJ"" umgestellt werden.",Schulbeginn,,,SchuelerZusatzdaten.dat,21,BeginnBildungsgang,,
Dauer des Bildungsgangs in Monaten,36,,Dauer,,,,,,,
Name der Klassenlehrkraft,Frau Meier,,Klassenlehrer,,,,,,,
Antwort auf die Frage zur 1. Fremdsprache,Französisch,Die Zusatzfragen und verfügbaren Antwortoptionen zur Anmeldung können von den Schulen in den Details der Bildungsgänge angegeben werden.,Fremdsprache1,,,,,,,
Antwort auf die Frage zur 2. Fremdsprache,Englisch,,Fremdsprache2,,,,,,,
Antwort auf die Frage zum Pflichtfach,Biologie,,Pflichtfach,,,,,,,
Antwort auf die Frage zum Schwerpunkt,Büro-Systemtechnik,,Schwerpunkt,,,,,,,
Antwort auf die Frage zur Differenzierung (1. Priorität),Außenhandel,,Differenzierung,,,,,,,
Antwort auf die Frage zur Differenzierung (2. Priorität),Bank- und Finanzwirtschaft/Touristik/Logistik,,Differenzierung2,,,,,,,
Antwort auf die Frage zum Angebot,Blockunterricht (bevorzugt),,Angebot,,,,,,,
Antwort auf die Frage zum Grundkurs,Deutsch,,Grundkurs,,,,,,,
Antwort auf die Frage zum Leistungskurs,Mathematik,,Leistungskurs,,,,,,,
Antwort auf die Frage zur Organisation,Tablet/Notebook-Klasse,,Organisation,,,,,,,
Antwort auf die Frage zur Fachrichtung,Sozialwesen - Erzieher*in,,Fachrichtung,,,,,,,
Ausbildungsbetrieb,,,,,,,,,,
Inhalt,Beispieldaten,Hinweise,Datenfeld in Schüler Online,Xschule / Xbildung,,Schild Datei,Spalte,Schild Feldname,,
Name,Meier GmbH,,BetriebName,,,SchuelerAdressen.dat,5,Name1,,
Anschrift,Musterstr. 169,,BetriebStrasse,,,SchuelerAdressen.dat,7,Straße,,
Staat des Betriebsstandorts,D,"Länderkürzel des Staates in dem der Ort liegt (z.B. ""D"" für ""Deutschland"" oder ""NL"" für ""Niederlande"")",BetriebPlzStaat,,,,,,,
Postleitzahl des Betriebsstandorts,32657,,BetriebPlz,,,SchuelerAdressen.dat,8,PLZ,,
Betriebsstandort,Lemgo,,BetriebOrt,,,SchuelerAdressen.dat,9,Ort,,
Telefonnummer,+49 1234 567890,,BetriebTelefon,,,SchuelerAdressen.dat,10,1. Telefon-Nr.,,
Faxnummer,+49 1234 567890,,BetriebFax,,,SchuelerAdressen.dat,21,Fax-Nummer des Betriebs,,
E-Mail-Adresse,betrieb@berufsschule.de,,BetriebEmail,,,SchuelerAdressen.dat,12,E-Mail,,
Name des Ansprechpartners für die Berufsschule,Meierjohann,,BetriebKontakt,,,SchuelerAdressen.dat,13,Betreuer Nachname,,
Von Schule zugeordneter externer Schlüssel,ABC123,"Diesen Schlüssel kann jede Schule in Schüler Online für jeden Betrieb vergeben. Berufsbildende Schulen können die Schlüssel des Betriebs unter ""Administration"" -> ""Betriebe"" -> ""Übersichtsliste"" in den Details des Betriebs im Feld ""Importschlüssel"" einsehen und bearbeiten.",BetriebeIdExtern,,,SchuelerAdressen.dat,26,SchILD-Adress-ID,,
Schlüssel in der Schüler Online-Datenbank,123456,"Der Schlüssel wird jedem Betrieb automatisch in Schüler Online vergeben. Berufsbildende Schulen können die Schlüssel des Betriebs unter ""Administration"" -> ""Betriebe"" -> ""Übersichtsliste"" in den Details des Betriebs im Feld ""SO-Schlüssel"" einsehen.",BetriebeIdKrz,,,SchuelerAdressen.dat,27,externe Adress-ID,,
Beginn des Ausbildungsvertrags,17.05.2022,"Die Ausgabe von Datumswerten erfolgt im Format ""TT.MM.JJJJ"", kann bei Bedarf aber auch auf das Format ""JJJJMMTT"" oder ""TT.MM.JJ"" umgestellt werden.",BetriebAusbildungsBeginn,,,SchuelerAdressen.dat,18.01.1900,Vertragsbeginn,,
Ende des Ausbildungsvertrags,19.07.2025,"Die Ausgabe von Datumswerten erfolgt im Format ""TT.MM.JJJJ"", kann bei Bedarf aber auch auf das Format ""JJJJMMTT"" oder ""TT.MM.JJ"" umgestellt werden.",BetriebAusbildungsEnde,,,SchuelerAdressen.dat,19.01.1900,Vertragsende,,
Hinweise des Ausbildungsbetriebs für die Berufsschule,Bitte Berufsschultage am Montag und Dienstag einplanen,,InfoVomBetrieb,,,,,,,
Sonstiges,,,,,,,,,,
Inhalt,Beispieldaten,Hinweise,Datenfeld in Schüler Online,Xschule / Xbildung,,Schild Datei,Spalte,Schild Feldname,,
Nummer des Datensatzes in der Exportdatei (forlaufend ab 1),13,,laufende Nummer,,,,,,,
Aktuelles Tagesdatum,18.03.2022,,Tagesdatum,Tagesdatum,,,,,,
